id,name,type
175,togepi,fairy
176,togetic,fairy
177,natu,psychic
178,xatu,psychic
179,mareep,electric
180,flaaffy,electric
181,ampharos,electric
182,bellossom,grass
183,marill,water
184,azumarill,water
185,sudowoodo,rock
186,politoed,water
187,hoppip,grass
188,skiploom,grass
189,jumpluff,grass
190,aipom,normal
191,sunkern,grass
192,sunflora,grass
193,yanma,bug
194,wooper,water
195,quagsire,water
196,espeon,psychic
197,umbreon,dark
198,murkrow,dark
199,slowking,water
200,misdreavus,ghost
201,unown,psychic
202,wobbuffet,psychic
203,girafarig,normal
204,pineco,bug
205,forretress,bug
206,dunsparce,normal
207,gligar,ground
208,steelix,steel
209,snubbull,fairy
210,granbull,fairy
211,qwilfish,water
212,scizor,bug
213,shuckle,bug
214,heracross,bug
215,sneasel,dark
216,teddiursa,normal
217,ursaring,normal
218,slugma,fire
219,magcargo,fire
220,swinub,ice
221,piloswine,ice
222,corsola,water
223,remoraid,water
224,octillery,water
225,delibird,ice
226,mantine,water
227,skarmory,steel
228,houndour,dark
229,houndoom,dark
230,kingdra,water
231,phanpy,ground
232,donphan,ground
233,porygon2,normal
234,stantler,normal
235,smeargle,normal
236,tyrogue,fighting
237,hitmontop,fighting
238,smoochum,ice
239,elekid,electric
240,magby,fire
241,miltank,normal
242,blissey,normal
243,raikou,electric
244,entei,fire
245,suicune,water
246,larvitar,rock
247,pupitar,rock
248,tyranitar,rock
249,lugia,psychic
250,ho-oh,fire
251,celebi,psychic
252,treecko,grass
253,grovyle,grass
254,sceptile,grass
255,torchic,fire
256,combusken,fire
257,blaziken,fire
258,mudkip,water
259,marshtomp,water
260,swampert,water
261,poochyena,dark
262,mightyena,dark
263,zigzagoon,normal
264,linoone,normal
265,wurmple,bug
266,silcoon,bug
267,beautifly,bug
268,cascoon,bug
269,dustox,bug
270,lotad,water
271,lombre,water
272,ludicolo,water
273,seedot,grass
274,nuzleaf,grass
275,shiftry,grass
276,taillow,normal
277,swellow,normal
278,wingull,water
279,pelipper,water
280,ralts,psychic
281,kirlia,psychic
282,gardevoir,psychic
283,surskit,bug
284,masquerain,bug
285,shroomish,grass
286,breloom,grass
287,slakoth,normal
288,vigoroth,normal
289,slaking,normal
290,nincada,bug
291,ninjask,bug
292,shedinja,bug
293,whismur,normal
294,loudred,normal
295,exploud,normal
296,makuhita,fighting
297,hariyama,fighting
298,azurill,normal
299,nosepass,rock
300,skitty,normal
301,delcatty,normal
302,sableye,dark
303,mawile,steel
304,aron,steel
305,lairon,steel
306,aggron,steel
307,meditite,fighting
308,medicham,fighting
309,electrike,electric
310,manectric,electric
311,plusle,electric
312,minun,electric
313,volbeat,bug
314,illumise,bug
315,roselia,grass
316,gulpin,poison
317,swalot,poison
318,carvanha,water
319,sharpedo,water
320,wailmer,water
321,wailord,water
322,numel,fire
323,camerupt,fire
324,torkoal,fire
325,spoink,psychic
326,grumpig,psychic
327,spinda,normal
328,trapinch,ground
329,vibrava,ground
330,flygon,ground
331,cacnea,grass
332,cacturne,grass
333,swablu,normal
334,altaria,dragon
335,zangoose,normal
336,seviper,poison
337,lunatone,rock
338,solrock,rock
339,barboach,water
340,whiscash,water
341,corphish,water
342,crawdaunt,water
343,baltoy,ground
344,claydol,ground
345,lileep,rock
346,cradily,rock
347,anorith,rock
348,armaldo,rock
349,feebas,water
350,milotic,water
351,castform,normal
352,kecleon,normal
353,shuppet,ghost
354,banette,ghost
355,duskull,ghost
356,dusclops,ghost
357,tropius,grass
358,chimecho,psychic
359,absol,dark
360,wynaut,psychic
361,snorunt,ice
362,glalie,ice
363,spheal,ice
364,sealeo,ice
365,walrein,ice
366,clamperl,water
367,huntail,water
368,gorebyss,water
369,relicanth,water
370,luvdisc,water
371,bagon,dragon
372,shelgon,dragon
373,salamence,dragon
374,beldum,steel
375,metang,steel
376,metagross,steel
377,regirock,rock
378,regice,ice
379,registeel,steel
380,latias,dragon
381,latios,dragon
382,kyogre,water
383,groudon,ground
384,rayquaza,dragon
385,jirachi,steel
386,deoxys-normal,psychic
387,turtwig,grass
388,grotle,grass
389,torterra,grass
390,chimchar,fire
391,monferno,fire
392,infernape,fire
393,piplup,water
394,prinplup,water
395,empoleon,water
396,starly,normal
397,staravia,normal
398,staraptor,normal
399,bidoof,normal
400,bibarel,normal
401,kricketot,bug
402,kricketune,bug
403,shinx,electric
404,luxio,electric
405,luxray,electric
406,budew,grass
407,roserade,grass
408,cranidos,rock
409,rampardos,rock
410,shieldon,rock
411,bastiodon,rock
412,burmy,bug
413,wormadam-plant,bug
414,mothim,bug
415,combee,bug
416,vespiquen,bug
417,pachirisu,electric
418,buizel,water
419,floatzel,water
420,cherubi,grass
421,cherrim,grass
422,shellos,water
423,gastrodon,water
424,ambipom,normal
425,drifloon,ghost
426,drifblim,ghost
427,buneary,normal
428,lopunny,normal
429,mismagius,ghost
430,honchkrow,dark
431,glameow,normal
432,purugly,normal
433,chingling,psychic
434,stunky,poison
435,skuntank,poison
436,bronzor,steel
437,bronzong,steel
438,bonsly,rock
439,mime-jr,psychic
440,happiny,normal
441,chatot,normal
442,spiritomb,ghost
443,gible,dragon
444,gabite,dragon
445,garchomp,dragon
446,munchlax,normal
447,riolu,fighting
448,lucario,fighting
449,hippopotas,ground
450,hippowdon,ground
451,skorupi,poison
452,drapion,poison
453,croagunk,poison
454,toxicroak,poison
455,carnivine,grass
456,finneon,water
457,lumineon,water
458,mantyke,water
459,snover,grass
460,abomasnow,grass
461,weavile,dark
462,magnezone,electric
463,lickilicky,normal
464,rhyperior,ground
465,tangrowth,grass
466,electivire,electric
467,magmortar,fire
468,togekiss,fairy
469,yanmega,bug
470,leafeon,grass
471,glaceon,ice
472,gliscor,ground
473,mamoswine,ice
474,porygon-z,normal
475,gallade,psychic
476,probopass,rock
477,dusknoir,ghost
478,froslass,ice
479,rotom,electric
480,uxie,psychic
481,mesprit,psychic
482,azelf,psychic
483,dialga,steel
484,palkia,water
485,heatran,fire
486,regigigas,normal
487,giratina-altered,ghost
488,cresselia,psychic
489,phione,water
490,manaphy,water
491,darkrai,dark
492,shaymin-land,grass
493,arceus,normal
494,victini,psychic
495,snivy,grass
496,servine,grass
497,serperior,grass
498,tepig,fire
499,pignite,fire
500,emboar,fire
501,oshawott,water
502,dewott,water
503,samurott,water
504,patrat,normal
505,watchog,normal
506,lillipup,normal
507,herdier,normal
508,stoutland,normal
509,purrloin,dark
510,liepard,dark
511,pansage,grass
512,simisage,grass
513,pansear,fire
514,simisear,fire
515,panpour,water
516,simipour,water
517,munna,psychic
518,musharna,psychic
519,pidove,normal
520,tranquill,normal
521,unfezant,normal
522,blitzle,electric
523,zebstrika,electric
524,roggenrola,rock
525,boldore,rock
526,gigalith,rock
527,woobat,psychic
528,swoobat,psychic
529,drilbur,ground
530,excadrill,ground
531,audino,normal
532,timburr,fighting
533,gurdurr,fighting
534,conkeldurr,fighting
535,tympole,water
536,palpitoad,water
537,seismitoad,water
538,throh,fighting
539,sawk,fighting
540,sewaddle,bug
541,swadloon,bug
542,leavanny,bug
543,venipede,bug
544,whirlipede,bug
545,scolipede,bug
546,cottonee,grass
547,whimsicott,grass
548,petilil,grass
549,lilligant,grass
550,basculin-red-striped,water
551,sandile,ground
552,krokorok,ground
553,krookodile,ground
554,darumaka,fire
555,darmanitan-standard,fire
556,maractus,grass
557,dwebble,bug
558,crustle,bug
559,scraggy,dark
560,scrafty,dark
561,sigilyph,psychic
562,yamask,ghost
563,cofagrigus,ghost
564,tirtouga,water
565,carracosta,water
566,archen,rock
567,archeops,rock
568,trubbish,poison
569,garbodor,poison
570,zorua,dark
571,zoroark,dark
572,minccino,normal
573,cinccino,normal
574,gothita,psychic
575,gothorita,psychic
576,gothitelle,psychic
577,solosis,psychic
578,duosion,psychic
579,reuniclus,psychic
580,ducklett,water
581,swanna,water
582,vanillite,ice
583,vanillish,ice
584,vanilluxe,ice
585,deerling,normal
586,sawsbuck,normal
587,emolga,electric
588,karrablast,bug
589,escavalier,bug
590,foongus,grass
591,amoonguss,grass
592,frillish-male,water
593,jellicent-male,water
594,alomomola,water
595,joltik,bug
596,galvantula,bug
597,ferroseed,grass
598,ferrothorn,grass
599,klink,steel
600,klang,steel
601,klinklang,steel
602,tynamo,electric
603,eelektrik,electric
604,eelektross,electric
605,elgyem,psychic
606,beheeyem,psychic
607,litwick,ghost
608,lampent,ghost
609,chandelure,ghost
610,axew,dragon
611,fraxure,dragon
612,haxorus,dragon
613,cubchoo,ice
614,beartic,ice
615,cryogonal,ice
616,shelmet,bug
617,accelgor,bug
618,stunfisk,ground
619,mienfoo,fighting
620,mienshao,fighting
621,druddigon,dragon
622,golett,ground
623,golurk,ground
624,pawniard,dark
625,bisharp,dark
626,bouffalant,normal
627,rufflet,normal
628,braviary,normal
629,vullaby,dark
630,mandibuzz,dark
631,heatmor,fire
632,durant,bug
633,deino,dark
634,zweilous,dark
635,hydreigon,dark
636,larvesta,bug
637,volcarona,bug
638,cobalion,steel
639,terrakion,rock
640,virizion,grass
641,tornadus-incarnate,flying
642,thundurus-incarnate,electric
643,reshiram,dragon
644,zekrom,dragon
645,landorus-incarnate,ground
646,kyurem,dragon
647,keldeo-ordinary,water
648,meloetta-aria,normal
649,genesect,bug
650,chespin,grass
651,quilladin,grass
652,chesnaught,grass
653,fennekin,fire
654,braixen,fire
655,delphox,fire
656,froakie,water
657,frogadier,water
658,greninja,water
659,bunnelby,normal
660,diggersby,normal
661,fletchling,normal
662,fletchinder,fire
663,talonflame,fire
664,scatterbug,bug
665,spewpa,bug
666,vivillon,bug
667,litleo,fire
668,pyroar-male,fire
669,flabebe,fairy
670,floette,fairy
671,florges,fairy
672,skiddo,grass
673,gogoat,grass
674,pancham,fighting
675,pangoro,fighting
676,furfrou,normal
677,espurr,psychic
678,meowstic-male,psychic
679,honedge,steel
680,doublade,steel
681,aegislash-shield,steel
682,spritzee,fairy
683,aromatisse,fairy
684,swirlix,fairy
685,slurpuff,fairy
686,inkay,dark
687,malamar,dark
688,binacle,rock
689,barbaracle,rock
690,skrelp,poison
691,dragalge,poison
692,clauncher,water
693,clawitzer,water
694,helioptile,electric
695,heliolisk,electric
696,tyrunt,rock
697,tyrantrum,rock
698,amaura,rock
699,aurorus,rock
700,sylveon,fairy
701,hawlucha,fighting
702,dedenne,electric
703,carbink,rock
704,goomy,dragon
705,sliggoo,dragon
706,goodra,dragon
707,klefki,steel
708,phantump,ghost
709,trevenant,ghost
710,pumpkaboo-average,ghost
711,gourgeist-average,ghost
712,bergmite,ice
713,avalugg,ice
714,noibat,flying
715,noivern,flying
716,xerneas,fairy
717,yveltal,dark
718,zygarde-50,dragon
719,diancie,rock
720,hoopa,psychic
721,volcanion,fire
722,rowlet,grass
723,dartrix,grass
724,decidueye,grass
725,litten,fire
726,torracat,fire
727,incineroar,fire
728,popplio,water
729,brionne,water
730,primarina,water
731,pikipek,normal
732,trumbeak,normal
733,toucannon,normal
734,yungoos,normal
735,gumshoos,normal
736,grubbin,bug
737,charjabug,bug
738,vikavolt,bug
739,crabrawler,fighting
740,crabominable,fighting
741,oricorio-baile,fire
742,cutiefly,bug
743,ribombee,bug
744,rockruff,rock
745,lycanroc-midday,rock
746,wishiwashi-solo,water
747,mareanie,poison
748,toxapex,poison
749,mudbray,ground
750,mudsdale,ground
751,dewpider,water
752,araquanid,water
753,fomantis,grass
754,lurantis,grass
755,morelull,grass
756,shiinotic,grass
757,salandit,poison
758,salazzle,poison
759,stufful,normal
760,bewear,normal
761,bounsweet,grass
762,steenee,grass
763,tsareena,grass
764,comfey,fairy
765,oranguru,normal
766,passimian,fighting
767,wimpod,bug
768,golisopod,bug
769,sandygast,ghost
770,palossand,ghost
771,pyukumuku,water
772,type-null,normal
773,silvally,normal
774,minior-red-meteor,rock
775,komala,normal
776,turtonator,fire
777,togedemaru,electric
778,mimikyu-disguised,ghost
779,bruxish,water
780,drampa,normal
781,dhelmise,ghost
782,jangmo-o,dragon
783,hakamo-o,dragon
784,kommo-o,dragon
785,tapu-koko,electric
786,tapu-lele,psychic
787,tapu-bulu,grass
788,tapu-fini,water
789,cosmog,psychic
790,cosmoem,psychic
791,solgaleo,psychic
792,lunala,psychic
793,nihilego,rock
794,buzzwole,bug
795,pheromosa,bug
796,xurkitree,electric
797,celesteela,steel
798,kartana,grass
799,guzzlord,dark
800,necrozma,psychic
801,magearna,steel
802,marshadow,fighting
803,poipole,poison
804,naganadel,poison
805,stakataka,rock
806,blacephalon,fire
807,zeraora,electric
808,meltan,steel
809,melmetal,steel
810,grookey,grass
811,thwackey,grass
812,rillaboom,grass
813,scorbunny,fire
814,raboot,fire
815,cinderace,fire
816,sobble,water
817,drizzile,water
818,inteleon,water
819,skwovet,normal
820,greedent,normal
821,rookidee,flying
822,corvisquire,flying
823,corviknight,flying
824,blipbug,bug
825,dottler,bug
826,orbeetle,bug
827,nickit,dark
828,thievul,dark
829,gossifleur,grass
830,eldegoss,grass
831,wooloo,normal
832,dubwool,normal
833,chewtle,water
834,drednaw,water
835,yamper,electric
836,boltund,electric
837,rolycoly,rock
838,carkol,rock
839,coalossal,rock
840,applin,grass
841,flapple,grass
842,appletun,grass
843,silicobra,ground
844,sandaconda,ground
845,cramorant,flying
846,arrokuda,water
847,barraskewda,water
848,toxel,electric
849,toxtricity-amped,electric
850,sizzlipede,fire
851,centiskorch,fire
852,clobbopus,fighting
853,grapploct,fighting
854,sinistea,ghost
855,polteageist,ghost
856,hatenna,psychic
857,hattrem,psychic
858,hatterene,psychic
859,impidimp,dark
860,morgrem,dark
861,grimmsnarl,dark
862,obstagoon,dark
863,perrserker,steel
864,cursola,ghost
865,sirfetchd,fighting
866,mr-rime,ice
867,runerigus,ground
868,milcery,fairy
869,alcremie,fairy
870,falinks,fighting
871,pincurchin,electric
872,snom,ice
873,frosmoth,ice
874,stonjourner,rock
875,eiscue-ice,ice
876,indeedee-male,psychic
877,morpeko-full-belly,electric
878,cufant,steel
879,copperajah,steel
880,dracozolt,electric
881,arctozolt,electric
882,dracovish,water
883,arctovish,water
884,duraludon,steel
885,dreepy,dragon
886,drakloak,dragon
887,dragapult,dragon
888,zacian,fairy
889,zamazenta,fighting
890,eternatus,poison
891,kubfu,fighting
892,urshifu-single-strike,fighting
893,zarude,dark
894,regieleki,electric
895,regidrago,dragon
896,glastrier,ice
897,spectrier,ghost
898,calyrex,psychic
899,wyrdeer,normal
900,kleavor,bug
901,ursaluna,ground
902,basculegion-male,water
903,sneasler,fighting
904,overqwil,dark
905,enamorus-incarnate,fairy
906,sprigatito,grass
907,floragato,grass
908,meowscarada,grass
909,fuecoco,fire
910,crocalor,fire
911,skeledirge,fire
912,quaxly,water
913,quaxwell,water
914,quaquaval,water
915,lechonk,normal
916,oinkologne-male,normal
917,tarountula,bug
918,spidops,bug
919,nymble,bug
920,lokix,bug
921,pawmi,electric
922,pawmo,electric
923,pawmot,electric
924,tandemaus,normal
925,maushold-family-of-four,normal
926,fidough,fairy
927,dachsbun,fairy
928,smoliv,grass
929,dolliv,grass
930,arboliva,grass
931,squawkabilly-green-plumage,normal
932,nacli,rock
933,naclstack,rock
934,garganacl,rock
935,charcadet,fire
936,armarouge,fire
937,ceruledge,fire
938,tadbulb,electric
939,bellibolt,electric
940,wattrel,electric
941,kilowattrel,electric
942,maschiff,dark
943,mabosstiff,dark
944,shroodle,poison
945,grafaiai,poison
946,bramblin,grass
947,brambleghast,grass
948,toedscool,ground
949,toedscruel,ground
950,klawf,rock
951,capsakid,grass
952,scovillain,grass
953,rellor,bug
954,rabsca,bug
955,flittle,psychic
956,espathra,psychic
957,tinkatink,fairy
958,tinkatuff,fairy
959,tinkaton,fairy
960,wiglett,water
961,wugtrio,water
962,bombirdier,flying
963,finizen,water
964,palafin-zero,water
965,varoom,steel
966,revavroom,steel
967,cyclizar,dragon
968,orthworm,steel
969,glimmet,rock
970,glimmora,rock
971,greavard,ghost
972,houndstone,ghost
973,flamigo,flying
974,cetoddle,ice
975,cetitan,ice
976,veluza,water
977,dondozo,water
978,tatsugiri-curly,dragon
979,annihilape,fighting
980,clodsire,poison
981,farigiraf,normal
982,dudunsparce-two-segment,normal
983,kingambit,dark
984,great-tusk,ground
985,scream-tail,fairy
986,brute-bonnet,grass
987,flutter-mane,ghost
988,slither-wing,bug
989,sandy-shocks,electric
990,iron-treads,ground
991,iron-bundle,ice
992,iron-hands,fighting
993,iron-jugulis,dark
994,iron-moth,fire
995,iron-thorns,rock
996,frigibax,dragon
997,arctibax,dragon
998,baxcalibur,dragon
999,gimmighoul,ghost
1000,gholdengo,steel
1001,wo-chien,dark
1002,chien-pao,dark
1003,ting-lu,dark
1004,chi-yu,dark
1005,roaring-moon,dragon
1006,iron-valiant,fairy
1007,koraidon,fighting
1008,miraidon,electric
1009,walking-wake,water
1010,iron-leaves,grass
1011,dipplin,grass
1012,poltchageist,grass
1013,sinistcha,grass
1014,okidogi,poison
1015,munkidori,poison
1016,fezandipiti,poison
1017,ogerpon,grass
1018,archaludon,steel
1019,hydrapple,grass
1020,gouging-fire,fire
1021,raging-bolt,electric
1022,iron-boulder,rock
1023,iron-crown,steel
1024,terapagos,normal
1025,pecharunt,poison
